# Cash Flow data for GOOGL (quarterly)
# Data retrieved on: 2026-06-20 23:11:31

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,10116000000.0,24551000000.0,24461000000.0,5301000000.0,18953000000.0
Repurchase Of Capital Stock,0.0,-5499000000.0,-11504000000.0,-13638000000.0,-15068000000.0
Repayment Of Debt,-1477000000.0,-6333000000.0,-7697000000.0,-13876000000.0,-4521000000.0
Issuance Of Debt,31379000000.0,26562000000.0,6624000000.0,26846000000.0,4532000000.0
Capital Expenditure,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0,-17197000000.0
End Cash Position,38063000000.0,30708000000.0,23090000000.0,21036000000.0,23264000000.0
Beginning Cash Position,30708000000.0,23090000000.0,21036000000.0,23264000000.0,23466000000.0
Effect Of Exchange Rate Changes,-123000000.0,-36000000.0,-200000000.0,401000000.0,43000000.0
Changes In Cash,7478000000.0,7654000000.0,2254000000.0,-2629000000.0,-245000000.0
Financing Cash Flow,25077000000.0,7028000000.0,-18383000000.0,-5832000000.0,-20201000000.0
Cash Flow From Continuing Financing Activities,25077000000.0,7028000000.0,-18383000000.0,-5832000000.0,-20201000000.0
Net Other Financing Charges,3200000000.0,0.0,0.0,0.0,400000000.0
Proceeds From Stock Option Exercised,-5483000000.0,-5166000000.0,-3270000000.0,-2621000000.0,-3110000000.0
Cash Dividends Paid,-2542000000.0,-2536000000.0,-2536000000.0,-2543000000.0,-2434000000.0
Common Stock Dividend Paid,-2542000000.0,-2536000000.0,-2536000000.0,-2543000000.0,-2434000000.0
Net Common Stock Issuance,0.0,-5499000000.0,-11504000000.0,-13638000000.0,-15068000000.0
Common Stock Payments,0.0,-5499000000.0,-11504000000.0,-13638000000.0,-15068000000.0
Net Issuance Payments Of Debt,29902000000.0,20229000000.0,-1073000000.0,12970000000.0,11000000.0
Net Long Term Debt Issuance,29902000000.0,20229000000.0,-1073000000.0,12970000000.0,11000000.0
Long Term Debt Payments,-1477000000.0,-6333000000.0,-7697000000.0,-13876000000.0,-4521000000.0
Long Term Debt Issuance,31379000000.0,26562000000.0,6624000000.0,26846000000.0,4532000000.0
Investing Cash Flow,-63389000000.0,-51776000000.0,-27777000000.0,-24544000000.0,-16194000000.0
Cash Flow From Continuing Investing Activities,-63389000000.0,-51776000000.0,-27777000000.0,-24544000000.0,-16194000000.0
Net Other Investing Changes,-996000000.0,-525000000.0,-1482000000.0,-513000000.0,150000000.0
Net Investment Purchase And Sale,6902000000.0,-23233000000.0,-1270000000.0,-1572000000.0,1193000000.0
Sale Of Investment,38849000000.0,22110000000.0,20694000000.0,21199000000.0,20604000000.0
Purchase Of Investment,-31947000000.0,-45343000000.0,-21964000000.0,-22771000000.0,-19411000000.0
Net Business Purchase And Sale,-33621000000.0,-167000000.0,-1072000000.0,-13000000.0,-340000000.0
Purchase Of Business,-33621000000.0,-167000000.0,-1072000000.0,-13000000.0,-340000000.0
Net PPE Purchase And Sale,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0,-17197000000.0
Purchase Of PPE,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0,-17197000000.0
Operating Cash Flow,45790000000.0,52402000000.0,48414000000.0,27747000000.0,36150000000.0
Cash Flow From Continuing Operating Activities,45790000000.0,52402000000.0,48414000000.0,27747000000.0,36150000000.0
Change In Working Capital,-1402000000.0,4707000000.0,3783000000.0,-10110000000.0,2238000000.0
Change In Other Working Capital,8606000000.0,-2123000000.0,3115000000.0,-9495000000.0,7697000000.0
Change In Other Current Assets,-3403000000.0,-482000000.0,-1293000000.0,-1479000000.0,-1288000000.0
Change In Payables And Accrued Expense,-6242000000.0,12509000000.0,4342000000.0,3703000000.0,-5809000000.0
Change In Accrued Expense,-6002000000.0,7539000000.0,8078000000.0,3150000000.0,-4929000000.0
Change In Payable,-240000000.0,4970000000.0,-3736000000.0,553000000.0,-880000000.0
Change In Account Payable,-240000000.0,1678000000.0,-444000000.0,553000000.0,-880000000.0
Change In Receivables,-363000000.0,-5197000000.0,-2381000000.0,-2839000000.0,1638000000.0
Changes In Account Receivables,-363000000.0,-5197000000.0,-2381000000.0,-2839000000.0,1638000000.0
Other Non Cash Items,1265000000.0,1265000000.0,-198000000.0,560000000.0,481000000.0
Stock Based Compensation,6751000000.0,7071000000.0,6368000000.0,5998000000.0,5516000000.0
Deferred Tax,6920000000.0,1218000000.0,8726000000.0,-444000000.0,-1152000000.0
Deferred Income Tax,6920000000.0,1218000000.0,8726000000.0,-444000000.0,-1152000000.0
Depreciation Amortization Depletion,6482000000.0,6040000000.0,5611000000.0,4998000000.0,4487000000.0
Depreciation And Amortization,6482000000.0,6040000000.0,5611000000.0,4998000000.0,4487000000.0
Depreciation,6482000000.0,6040000000.0,5611000000.0,4998000000.0,4487000000.0
Operating Gains Losses,-36804000000.0,-2354000000.0,-10855000000.0,-1451000000.0,-9960000000.0
Gain Loss On Investment Securities,-36804000000.0,-2354000000.0,-10855000000.0,-1451000000.0,-9960000000.0
Net Income From Continuing Operations,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0
